Index,Brine_Vp,Brine_Vs,Brine_p,Shale_VP,Shale_Vs,Shale_Vs,Gas_Vp,Gas_Vs,Gas_p
1,3.28,1.68,2.19,3.27,1.65,1.68,3.04,1.74,2.05
2,4.06,2.03,2.4,4.69,2.61,2.03,3.7,2.06,2.26
3,3.85,2.24,2.24,2.77,1.52,2.24,3.08,2.34,2.14
4,4.06,2.34,2.3,4.06,2.18,2.34,3.62,2.58,2.3
5,3.21,1.79,2.22,3.05,1.69,1.79,2.91,1.85,2.01
6,4.55,2.61,2.44,3.21,1.6,2.61,3.96,2.8,2.41
7,3.05,1.56,2.4,2.77,1.27,1.56,2.69,1.59,2.25
8,3.42,1.78,2.53,2.77,1.45,1.78,3.39,1.79,2.5
9,2.52,0.9,2.11,2.31,0.85,0.9,1.58,0.94,1.94
10,3.44,1.94,2.52,2.75,1.26,1.94,3.19,1.98,2.45
11,3.55,1.54,2.38,3.51,1.85,1.54,3.47,1.75,2.21
12,5.03,3.32,2.61,3.6,1.85,3.32,4.91,3.3,2.59
13,2.07,0.81,2.1,1.94,0.77,0.81,1.54,0.98,2.05
14,2.69,1.38,2.13,2.67,1.13,1.38,2.07,1.29,2.02
15,2.19,1.21,2.15,2.1,1.03,1.21,1.68,1.15,2.1
16,2.52,1.2,2.24,2.59,1.39,1.2,1.86,1.16,2.09
17,3.81,2.3,2.25,3.81,2.26,2.3,3.45,2.02,2.1
18,2.66,1.25,2.23,2.38,0.94,1.25,2.25,1.3,2.06
19,2.84,1.47,2.08,2.74,1.39,1.47,2.84,1.76,2.08
20,2.13,0.67,1.9,1.83,0.4,0.67,1.44,0.58,1.53
21,3.05,1.46,2.3,3.35,1.72,1.46,2.18,1.37,2.19
22,3.46,1.85,2.26,2.31,0.94,1.85,3.04,1.92,2.09
23,2.11,0.93,2.11,2.1,0.64,0.93,1.42,0.97,1.97
24,3.21,1.85,2.17,2.87,1.3,1.85,2.93,1.79,1.96
25,4.35,2.34,2.4,2.77,1.52,2.34,4.05,2.38,2.32
