DEPT,Vp,Vs,DEN,phi,Kbulk_GPa,K_bg_depth,phi_bg_depth
1517.142,3346.2624071351806,1736.3336358245278,2.5268,0.12428333333333326,18.136526712122805,17.429100482550332,0.14270757575757576
1517.2944,3155.9198346662474,1586.0989459310942,2.5553,0.1324469696969697,16.879162377836884,17.43046345418667,0.14242499999999997
1517.4468,3050.4342465287305,1487.6572765622232,2.5707,0.138130303030303,16.335042358130366,17.431826425823004,0.14265151515151514
1517.5992,3043.641505364319,1431.3837460928107,2.5747,0.1407181818181818,16.81778860016315,17.483264651945085,0.14239696969696966
1517.7516,3079.148667924727,1412.0184637164996,2.5784,0.13829696969696972,17.591808672775322,17.53470287806716,0.14214242424242418
1517.904,3099.5202251829915,1440.8649727994193,2.5741,0.14089999999999997,17.60402055516513,17.556069764144024,0.14211287878787873
1518.0564,3098.975040440201,1436.1317170255113,2.5728,0.13899393939393936,17.63314933552947,17.577436650220886,0.14208333333333328
1518.2088,3114.395804148645,1456.0337983278541,2.5734,0.1414121212121212,17.686331407823506,17.584622661498102,0.14211287878787873
1518.3612,3113.1965624099903,1473.3997684519393,2.5796,0.14208333333333328,17.53470287806716,17.577436650220886,0.14214242424242418
1518.5136,3116.806623009559,1477.8540085820264,2.584,0.13954999999999995,17.577436650220886,17.584622661498102,0.14211287878787873
1518.666,3118.5605510275495,1488.8373831045287,2.5749,0.14270757575757576,17.431826425823004,17.591808672775322,0.14208333333333328
1518.8184,3124.868643768051,1504.2514350351412,2.5696,0.14651363636363637,17.339080587055086,17.597914613970225,0.14194318181818177
1518.9708,3112.999428057848,1501.5125965970642,2.5713,0.14844848484848486,17.18839997100559,17.60402055516513,0.14180303030303024
1519.1232,3084.0494540686077,1485.9724783076294,2.5747,0.1485181818181818,16.908592394605233,17.6185849453473,0.1416075757575757
1519.2756,3060.775677678631,1460.2197899065661,2.5775,0.14621969696969692,16.81911188417671,17.63314933552947,0.1414121212121212
1519.428,3050.5930040534454,1428.3163720764148,2.5751,0.1468469696969697,16.959610655078595,17.659740371676488,0.1411560606060606
1519.5804,3057.122453400949,1428.197912244548,2.5753,0.14753636363636363,17.06479278166387,17.686331407823506,0.14089999999999997
1519.7328,3072.593034649333,1427.2128471632038,2.5713,0.15174848484848485,17.291767790061197,17.73445942668935,0.14080909090909088
1519.8852,3070.6027065227136,1427.5965466027374,2.5674,0.15268030303030297,17.230399359759424,17.782587445555198,0.1407181818181818
1520.0376,3071.633145420869,1436.280598714133,2.5643,0.151919696969697,17.14079213866858,17.79372338211125,0.1406068181818182
1520.19,3084.5176039127227,1446.3697211420058,2.5616,0.15218787878787882,17.226593552010954,17.8048593186673,0.1404954545454546
1520.3424,3087.1575058036133,1455.2197653983308,2.5639,0.15279090909090912,17.19604835741046,17.810001994429804,0.14047500000000002
1520.4948,3116.96280199412,1481.4627597784806,2.5672,0.15689090909090903,17.429100482550332,17.81514467019231,0.14045454545454547
1520.6472,3147.674252892081,1466.68559371173,2.5725,0.15273484848484853,18.109450819318226,17.82332097780681,0.14024999999999999
1520.7996,3161.6584599777398,1508.038916111872,2.5803,0.14592121212121215,17.968802512565127,17.83149728542131,0.14004545454545447
1520.952,3173.403381423722,1495.686651683629,2.5906,0.13410000000000002,18.361441234936102,17.898525122560976,0.13992272727272725
1521.1044,3157.5479692449853,1512.1327819274336,2.6026,0.1276136363636364,18.013588215015922,17.965552959700638,0.1398
1521.2568,3143.2304530356205,1488.7464832760238,2.5944,0.13094848484848487,17.965552959700638,17.898525122560976,0.139675
1521.4092,3161.737171261801,1523.1059368150895,2.5759,0.14045454545454547,17.782587445555198,17.930503721411505,0.13954999999999995
1521.5616,3179.3616868140984,1511.2211142578358,2.5597,0.14446363636363638,18.079899302146874,17.94802834055607,0.13929393939393936
1521.714,3200.3057509956334,1536.466892364647,2.5632,0.14180303030303024,18.184151330179642,17.965552959700638,0.13903787878787877
1521.8664,3227.948441784141,1529.3013230363056,2.5728,0.13494393939393937,18.784787454546812,17.967177736132882,0.13901590909090905
1522.0188,3238.9421155987793,1538.4413489425233,2.5742,0.135219696969697,18.88178355549364,17.968802512565127,0.13899393939393936
1522.1712,3220.9114080286076,1551.6693681732656,2.5716,0.1363575757575757,18.423027762202665,17.967177736132882,0.13864545454545454
1522.3236,3169.058016219588,1529.4317769558586,2.5753,0.13483636363636364,17.83149728542131,17.965552959700638,0.13829696969696972
1522.476,3103.0891415295746,1511.2548323711974,2.5743,0.1322893939393939,16.949124257366552,17.94802834055607,0.13821363636363637
1522.6284,3072.67356875712,1479.2203033663425,2.5669,0.13808181818181817,16.746111427353604,17.930503721411505,0.138130303030303
1522.7808,3067.0062376547467,1462.5165360814058,2.5547,0.14857878787878787,16.74500537788662,17.88100050341641,0.13810606060606057
1522.9332,3064.1665426791756,1466.2262856659065,2.5504,0.1512818181818182,16.6354700388353,17.83149728542131,0.13808181818181817
1523.0856,3060.984697085035,1457.7175815661858,2.5492,0.14559545454545456,16.66252269479512,17.82332097780681,0.13754545454545455
1523.238,3049.0946249703643,1443.9420755625122,2.5539,0.1436712121212121,16.643816718881315,17.81514467019231,0.13700909090909094
1523.3904,3046.5102564845793,1437.9088050685343,2.5579,0.14475909090909087,16.688888354444124,17.81390767813149,0.13698863636363637
1523.5428,3051.8453251096385,1438.3593642715878,2.56,0.15017272727272724,16.781456232131926,17.812670686070668,0.1369681818181818
1523.6952,3057.196045705482,1438.8095267317403,2.5579,0.14980909090909086,16.846884949257078,17.808765002368986,0.13693863636363635
1523.8476,3082.7861590183634,1476.1863249353441,2.5603,0.15268181818181822,16.89303626808525,17.812670686070668,0.13690909090909087
1524.0,3128.692097896858,1513.822570856134,2.5619,0.15274696969696966,17.2497061958478,17.81390767813149,0.13663333333333327
1524.1524,3175.80387535595,1533.6697880134245,2.5635,0.14826212121212123,17.81514467019231,17.81514467019231,0.1363575757575757
1524.3048,3208.5291294022536,1546.7346796894149,2.5624,0.1404954545454546,18.205360741158493,17.82332097780681,0.13634469696969698
1524.4572,3218.3403162589543,1555.654456888773,2.5682,0.13903787878787877,18.313748607733867,17.83149728542131,0.13633181818181822
1524.6096,3204.0668943572477,1548.649859818735,2.5747,0.1369681818181818,18.198724921823274,17.878208392081966,0.13634469696969698
1524.762,3182.2030491936434,1532.819074545397,2.5733,0.14214242424242418,17.99689805521518,17.924919498742625,0.1363575757575757
1524.9144,3170.478765177575,1515.3790088188298,2.5756,0.14004545454545447,18.003712411733247,17.924919498742625,0.1366545454545455
1525.0668,3210.2458239420303,1527.7046838583567,2.5736,0.14265151515151514,18.514056626491087,17.930503721411505,0.13690909090909087
1525.2192,3269.0533902486113,1528.578091383694,2.5774,0.1398,19.514291197212074,17.958676776902685,0.13690909090909087
1525.3716,3272.380592464077,1534.682155140858,2.5785,0.13326666666666664,19.514454969176626,17.965552959700638,0.13690909090909087
1525.524,3275.711053912745,1540.8343860851737,2.5844,0.12967878787878784,19.550267799382393,17.968802512565127,0.13690909090909087
1525.6764,3219.322695908144,1528.5412961909835,2.5862,0.13363333333333335,18.746813701917787,17.968802512565127,0.13690909090909087
1525.8288,3148.2302050377884,1501.2892469172593,2.5781,0.14833787878787874,17.8048593186673,17.968802512565127,0.13690909090909087
1525.9812,3147.150992003056,1537.0859815035303,2.5692,0.15013484848484848,17.353357242054017,17.968802512565127,0.13690909090909087
1526.1336,3288.692852487883,1574.6306747147792,2.5688,0.13315606060606058,19.290536310205106,17.968802512565127,0.13690909090909087
1526.286,3590.5627570998436,1782.8648438706418,2.5784,0.10824696969696973,22.313468900417135,17.97028321540754,0.13690909090909087
1526.4384,3920.4236321284375,1984.619201190772,2.5926,0.08404393939393937,26.23219545481585,17.97028321540754,0.13690909090909087
1526.5908,3977.590817089547,2055.2434330656847,2.6014,0.07692727272727272,26.50617087401625,17.97028321540754,0.13690909090909087
1526.7432,4036.4445386163793,2131.081062184498,2.596,0.08641363636363632,26.57666038674194,17.97028321540754,0.13690909090909087
1526.8956,3888.4494680172484,2101.10390675731,2.5787,0.10695606060606058,23.811343855195013,17.97028321540754,0.13690909090909087
1527.048,3692.0795929021956,2021.3823522974988,2.567,0.11400151515151508,21.00696638127458,17.97028321540754,0.13690909090909087
